,Date,Time,Station,Get_In_Count,Way_Out_Count,StnPres,Temperature,RH,WS,WD,Precp,W_Station,Holiday
0,2017-01-01,0,市政府,693,191,1014.8,20.1,71.0,1.3,60.0,0.0,C0AC70XinYi,1
1,2017-01-01,1,市政府,11,0,1014.4,19.9,73.0,0.8,67.0,0.0,C0AC70XinYi,1
2,2017-01-01,5,市政府,0,0,1013.4,19.4,76.0,0.7,82.0,0.0,C0AC70XinYi,1
3,2017-01-01,6,市政府,677,417,1013.9,19.5,77.0,0.7,102.0,0.0,C0AC70XinYi,1
4,2017-01-01,7,市政府,544,772,1014.7,19.6,75.0,0.5,95.0,0.0,C0AC70XinYi,1
5,2017-01-01,8,市政府,660,1197,1015.3,20.1,73.0,0.6,85.0,0.0,C0AC70XinYi,1
6,2017-01-01,9,市政府,885,2021,1015.3,22.0,66.0,1.3,51.0,0.0,C0AC70XinYi,1
7,2017-01-01,10,市政府,1074,3400,1014.8,23.3,61.0,1.3,52.0,0.0,C0AC70XinYi,1
8,2017-01-01,11,市政府,1512,4208,1013.8,24.3,57.0,1.2,85.0,0.0,C0AC70XinYi,1
9,2017-01-01,12,市政府,2306,3736,1012.6,25.4,53.0,0.7,73.0,0.0,C0AC70XinYi,1
10,2017-01-01,13,市政府,2493,4285,1011.5,25.3,53.0,0.9,106.0,0.0,C0AC70XinYi,1
11,2017-01-01,14,市政府,3151,4456,1010.8,25.8,52.0,1.1,80.0,0.0,C0AC70XinYi,1
12,2017-01-01,15,市政府,3908,4379,1010.5,25.4,54.0,0.6,43.0,0.0,C0AC70XinYi,1
13,2017-01-01,16,市政府,4801,4593,1010.5,24.6,59.0,0.7,117.0,0.0,C0AC70XinYi,1
14,2017-01-01,17,市政府,5960,4996,1010.6,23.1,65.0,0.1,0.0,0.0,C0AC70XinYi,1
15,2017-01-01,18,市政府,5572,4255,1010.7,22.2,66.0,0.7,102.0,0.0,C0AC70XinYi,1
16,2017-01-01,19,市政府,5300,3299,1011.2,22.2,69.0,0.4,42.0,0.0,C0AC70XinYi,1
17,2017-01-01,20,市政府,4847,2438,1011.3,22.3,64.0,0.6,103.0,0.0,C0AC70XinYi,1
18,2017-01-01,21,市政府,5062,1825,1011.5,22.3,63.0,0.4,56.0,0.0,C0AC70XinYi,1
19,2017-01-01,22,市政府,5816,1367,1011.4,22.4,59.0,0.3,81.0,0.0,C0AC70XinYi,1
20,2017-01-01,23,市政府,2465,771,1011.2,21.8,62.0,0.0,0.0,0.0,C0AC70XinYi,1
21,2017-01-02,0,市政府,360,85,1011.3,21.0,67.0,0.0,0.0,0.0,C0AC70XinYi,1
22,2017-01-02,1,市政府,3,0,1011.2,20.1,69.0,0.1,0.0,0.0,C0AC70XinYi,1
23,2017-01-02,5,市政府,0,0,1011.8,17.7,81.0,0.1,0.0,0.0,C0AC70XinYi,1
24,2017-01-02,6,市政府,246,330,1012.2,17.9,84.0,0.0,0.0,0.0,C0AC70XinYi,1
