,Date,Time,Station,Get_In_Count,Way_Out_Count,StnPres,Temperature,RH,WS,WD,Precp,W_Station,Holiday
0,2018-01-01,0,西門,1101,630,1019.6,15.5,75,3.3,70,0.0,466920TaiPei,1
1,2018-01-01,1,西門,29,0,1019.3,15.9,71,3.3,50,0.0,466920TaiPei,1
2,2018-01-01,5,西門,0,0,1018.7,16.2,70,2.9,90,0.0,466920TaiPei,1
3,2018-01-01,6,西門,1533,653,1019.0,15.9,72,2.2,90,0.0,466920TaiPei,1
4,2018-01-01,7,西門,2317,772,1019.7,16.2,71,2.5,80,0.0,466920TaiPei,1
5,2018-01-01,8,西門,1784,1236,1019.7,16.9,67,4.5,70,0.0,466920TaiPei,1
6,2018-01-01,9,西門,1978,1838,1020.2,17.2,67,4.1,70,0.0,466920TaiPei,1
7,2018-01-01,10,西門,2553,3154,1020.1,17.9,68,4.2,70,0.0,466920TaiPei,1
8,2018-01-01,11,西門,3836,5253,1019.2,18.3,66,5.3,50,0.0,466920TaiPei,1
9,2018-01-01,12,西門,4329,6564,1018.2,19.0,65,5.1,70,0.0,466920TaiPei,1
10,2018-01-01,13,西門,5007,7160,1017.3,18.9,65,5.6,50,0.0,466920TaiPei,1
11,2018-01-01,14,西門,5956,7926,1016.7,18.8,65,6.0,50,0.0,466920TaiPei,1
12,2018-01-01,15,西門,6613,7749,1016.5,18.3,68,4.3,60,0.0,466920TaiPei,1
13,2018-01-01,16,西門,7658,6977,1016.4,17.8,71,5.4,70,0.0,466920TaiPei,1
14,2018-01-01,17,西門,8061,7152,1016.6,17.5,73,4.4,50,0.0,466920TaiPei,1
15,2018-01-01,18,西門,7333,6515,1017.0,17.1,77,3.9,60,0.0,466920TaiPei,1
16,2018-01-01,19,西門,6100,5030,1017.5,17.2,79,4.1,50,0.0,466920TaiPei,1
17,2018-01-01,20,西門,5588,4235,1017.9,17.2,80,3.9,50,0.0,466920TaiPei,1
18,2018-01-01,21,西門,5058,3958,1018.0,17.4,81,3.2,50,0.0,466920TaiPei,1
19,2018-01-01,22,西門,4523,2896,1018.3,17.8,78,3.9,50,0.0,466920TaiPei,1
20,2018-01-01,23,西門,2947,1358,1018.3,18.2,75,3.0,60,0.0,466920TaiPei,1
21,2018-01-02,0,西門,753,463,1018.2,18.2,75,4.3,50,0.0,466920TaiPei,0
22,2018-01-02,1,西門,14,0,1017.9,17.8,79,4.8,50,0.0,466920TaiPei,0
23,2018-01-02,5,西門,2,2,1016.9,18.1,78,2.7,70,0.0,466920TaiPei,0
24,2018-01-02,6,西門,705,497,1017.3,17.9,79,5.0,50,0.0,466920TaiPei,0
25,2018-01-02,7,西門,2374,1939,1018.0,18.1,80,3.4,50,0.0,466920TaiPei,0
26,2018-01-02,8,西門,4438,6029,1018.1,18.8,76,4.0,70,0.0,466920TaiPei,0
27,2018-01-02,9,西門,3208,2725,1018.3,19.6,72,6.2,50,0.0,466920TaiPei,0
28,2018-01-02,10,西門,3240,2612,1018.1,21.3,67,4.9,80,0.0,466920TaiPei,0
29,2018-01-02,11,西門,3301,3110,1017.1,22.3,62,5.2,60,0.0,466920TaiPei,0
30,2018-01-02,12,西門,3163,3334,1015.9,23.1,58,5.7,50,0.0,466920TaiPei,0
31,2018-01-02,13,西門,3119,3706,1015.1,22.9,57,4.8,50,0.0,466920TaiPei,0
32,2018-01-02,14,西門,3275,3790,1014.1,22.9,58,6.1,80,0.0,466920TaiPei,0
33,2018-01-02,15,西門,3410,3966,1013.4,23.3,56,2.9,70,0.0,466920TaiPei,0
34,2018-01-02,16,西門,3901,4208,1013.9,22.4,58,3.5,50,0.0,466920TaiPei,0
35,2018-01-02,17,西門,5143,5945,1014.4,21.1,62,5.4,50,0.0,466920TaiPei,0
36,2018-01-02,18,西門,7186,7748,1014.6,20.7,66,3.3,60,0.0,466920TaiPei,0
37,2018-01-02,19,西門,5530,5807,1014.6,20.7,66,4.5,60,0.0,466920TaiPei,0
38,2018-01-02,20,西門,4083,4191,1015.1,20.7,67,4.0,50,0.0,466920TaiPei,0
39,2018-01-02,21,西門,4572,3717,1015.3,20.8,66,3.5,50,0.0,466920TaiPei,0
40,2018-01-02,22,西門,4387,2986,1015.5,20.7,66,3.6,50,0.0,466920TaiPei,0
41,2018-01-02,23,西門,2235,1173,1015.5,20.6,65,2.5,50,0.0,466920TaiPei,0
42,2018-01-03,0,西門,715,419,1015.4,20.6,66,3.4,50,0.0,466920TaiPei,0
43,2018-01-03,1,西門,23,0,1015.5,20.3,70,4.3,50,0.0,466920TaiPei,0
44,2018-01-03,5,西門,0,0,1014.9,20.2,68,3.2,50,0.0,466920TaiPei,0
45,2018-01-03,6,西門,679,477,1015.1,20.1,69,2.9,40,0.0,466920TaiPei,0
46,2018-01-03,7,西門,2426,1985,1015.5,19.9,71,2.8,40,0.0,466920TaiPei,0
47,2018-01-03,8,西門,4586,5809,1016.6,20.8,68,4.8,50,0.0,466920TaiPei,0
48,2018-01-03,9,西門,3441,2851,1017.0,22.1,67,3.6,50,0.0,466920TaiPei,0
